Name,RSSFeedURL,Parent Category,Category,SourceURL,
Techcrunch,https://techcrunch.com/mobile/feed/,Laptops/mobiles,Mobile,https://techcrunch.com/,
Techcrunch,https://techcrunch.com/startups/feed/,Startup,,https://techcrunch.com/,
Google News ,https://news.google.com/rss/search?q=Technology,Technology,,https://news.google.com/,
Bing News,https://www.bing.com/news/search?q=Technology&format=rss,Technology,,https://www.bing.com,
Computer Technology,https://computernxtechnology.com/feed/,Laptops/mobiles,Computer,https://computernxtechnology.com,
Tech republic,https://www.techrepublic.com/rssfeeds/topic/android/,Laptops/mobiles,Android,https://www.techrepublic.com,
Tech republic,https://www.techrepublic.com/rssfeeds/topic/artificial-intelligence/,Technology,Artificial Intelligence,https://www.techrepublic.com,
Tech republic,https://www.techrepublic.com/rssfeeds/topic/cloud/,Technology,Cloud,https://www.techrepublic.com,
Tech republic,https://www.techrepublic.com/rssfeeds/topic/mobile/,Laptops/mobiles,Mobile,https://www.techrepublic.com,
Tech republic,https://www.techrepublic.com/rssfeeds/topic/internet-of-things/,Technology,Internet Of Things,https://www.techrepublic.com,
Tech republic,https://www.techrepublic.com/rssfeeds/topic/start-ups/,Startup,,https://www.techrepublic.com,
Tech Talksick,https://techtalksick.com/feed/,Technology,,https://techtalksick.com/,
Droidviews,https://www.droidviews.com/feed/,Laptops/mobiles,Android,https://www.droidviews.com/,
Droid Life,https://www.droid-life.com/feed/,Laptops/mobiles,Android,https://www.droid-life.com/,
MobileSyrup,https://mobilesyrup.com/feed/,Technology,,https://mobilesyrup.com/,
The New York Times,https://rss.nytimes.com/services/xml/rss/nyt/Technology.xml,Technology,,https://rss.nytimes.com/,
IEEE Spectrum,https://feeds.feedburner.com/IeeeSpectrumFullText,Technology,Telecommunication,https://spectrum.ieee.org/,
TechSpot,https://www.techspot.com/backend.xml,Technology,,https://www.techspot.com/,
Firstpost Tech,https://www.firstpost.com/tech/feed,Technology,,https://www.firstpost.com/,
Macworld,https://www.macworld.com/feed,Tech companies,Apple(Mac),https://www.macworld.com/, 
Hackaday,https://hackaday.com/blog/feed/,Technology,Hacks,https://hackaday.com/,
Tech republic,https://www.techrepublic.com/rssfeeds/topic/internet/,Technology,Internet ,https://www.techrepublic.com,
Tech republic,https://www.techrepublic.com/rssfeeds/topic/digital-media/,Technology,Digital Media,https://www.techrepublic.com,
Tech republic,https://www.techrepublic.com/rssfeeds/topic/innovation/,Technology,Innovation,https://www.techrepublic.com,
Tech republic,https://www.techrepublic.com/rssfeeds/topic/internet-of-things/,Technology,internet-of-things,https://www.techrepublic.com,
Tech republic,https://www.techrepublic.com/rssfeeds/topic/tech-and-work/,Technology,,https://www.techrepublic.com,
hindustantimes,https://tech.hindustantimes.com/rss/mobile,Laptops/mobiles,mobile,https://tech.hindustantimes.com,
hindustantimes,https://tech.hindustantimes.com/rss/laptops-pc,Laptops/mobiles,,https://tech.hindustantimes.com,
hindustantimes,https://tech.hindustantimes.com/rss/wearables,Laptops/mobiles,wearables,https://tech.hindustantimes.com,
hindustantimes,https://tech.hindustantimes.com/rss/gaming,Technology,gaming,https://tech.hindustantimes.com,
Gadgets360,https://www.gadgets360.com/rss/mobiles/feeds,Laptops/mobiles,mobile,https://www.gadgets360.com/,
Gadgets360,https://www.gadgets360.com/rss/android/feeds,Laptops/mobiles,android,https://www.gadgets360.com/,
Gadgets360,https://www.gadgets360.com/rss/internet/feeds,Technology,Internet,https://www.gadgets360.com/,
Gadgets360,https://www.gadgets360.com/rss/apps/feeds,Technology,Apps,https://www.gadgets360.com/,
